Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,fragment,foamed_plastic,pellet,foil,fiber,fishing_line,cigarette_butt,rope,rubber,fabric,unclear
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,1,1,5,microplastics,1,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,2,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,3,1,5,microplastics,5,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,4,1,5,microplastics,1,1,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,5,1,5,microplastics,1,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,6,1,5,microplastics,2,1,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,7,1,5,microplastics,6,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,8,1,5,microplastics,8,0,1,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,9,1,5,microplastics,6,4,1,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,10,1,5,microplastics,15,2,2,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,11,1,5,microplastics,21,1,6,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,12,1,5,microplastics,16,0,4,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,13,1,5,microplastics,20,3,1,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,B,14,1,5,microplastics,4,0,1,0,0,0,0,0,0,0,0
