sample_id,Continent,Country,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,Size_class,Dominant_Size,dominant_color,source,environment_type,location,concentration_level,color_display
DOER_1194,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Fort Adams State Park-Station 7,2019.0,unknown,1512.0,mesoplastics,<0.5 mm,unknown,DOER Database,Estuary,"Fort Adams State Park-Station 7, United States",High,unknown
Longmen_2018-04-27_A_1.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,dune,Longmen_Beach,2018.0,2018-04-27 00:00:00,0.0,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Very Low,unknown
Longmen_2018-04-27_A_2.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,dune,Longmen_Beach,2018.0,2018-04-27 00:00:00,0.0,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Very Low,unknown
Longmen_2018-04-27_A_3.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,dune,Longmen_Beach,2018.0,2018-04-27 00:00:00,2.3856858846918487,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Very Low,unknown
Longmen_2018-04-27_A_4.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,backshore,Longmen_Beach,2018.0,2018-04-27 00:00:00,1.64446637066272,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Very Low,unknown
Longmen_2018-04-27_A_5.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,backshore,Longmen_Beach,2018.0,2018-04-27 00:00:00,4.025440785766041,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Very Low,unknown
Longmen_2018-04-27_A_6.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,backshore,Longmen_Beach,2018.0,2018-04-27 00:00:00,0.0,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Very Low,unknown
Longmen_2018-04-27_A_7.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,backshore,Longmen_Beach,2018.0,2018-04-27 00:00:00,3.3752425955615566,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Very Low,unknown
Longmen_2018-04-27_A_8.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,backshore,Longmen_Beach,2018.0,2018-04-27 00:00:00,1.716001716001716,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Very Low,unknown
Longmen_2018-04-27_A_9.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,backshore,Longmen_Beach,2018.0,2018-04-27 00:00:00,11.141174598121918,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Low,unknown
Longmen_2018-04-27_A_10.0_microplastics,Asia,Taiwan,Marine,Longmen,Beach,backshore,Longmen_Beach,2018.0,2018-04-27 00:00:00,13.21722904680454,microplastics,<5 mm,unknown,Taiwan Beaches,Beach,"Longmen_Beach, Taiwan",Low,unknown
