sample_id,Continent,Country,region,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,log_concentration,Size_class,Standardized_Shapes,Dominant_Size,dominant_color,source,environment_type,location,concentration_level
DOER_1143,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,236.7,2.3760291817281805,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium
DOER_1142,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,194.4,2.2909245593827543,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium
DOER_1146,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,108.5,2.0394141191761372,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium
DOER_1169,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,1895.6,3.2779757462232233,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",High
DOER_1183,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,108.8,2.040602340114073,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1182,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,69.9,1.8506462351830666,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
DOER_1180,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,132.1,2.124178055474675,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1178,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,178.7,2.2545480771089736,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1177,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,93.2,1.9740509027928774,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
DOER_1176,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,124.3,2.09795107099415,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1175,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,256.4,2.410608542568368,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1174,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,233.1,2.3694014136966244,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1173,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,357.4,2.5543680009900878,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
DOER_1172,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,341.8,2.5350408132511606,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium
